model,fold_index,group,test_rows,mae_eV,mse_eV2,rmse_eV,r2,mae_nm,mse_nm2,rmse_nm
train_median_baseline,35,BaLiF3,1,0.7230000000000003,0.5227290000000004,0.7230000000000003,,56.245452698967654,3163.550949311808,56.245452698967654
xgboost_original_params,36,BaLu2F8,1,0.050529537200927344,0.0025532341297399004,0.050529537200927344,,3.4125468721676953,11.64547615474152,3.4125468721676953
train_mean_baseline,36,BaLu2F8,1,0.6954016853932581,0.4835835040477839,0.6954016853932581,,55.34326113104112,3062.8765526186066,55.34326113104112
train_median_baseline,36,BaLu2F8,1,0.6629999999999998,0.43956899999999977,0.6629999999999998,,52.2958004188676,2734.8507414500327,52.2958004188676
xgboost_original_params,37,BaMg2Si2O7,1,0.40363822555542006,0.16292381712952816,0.40363822555542006,,34.83187954723803,1213.2598327932992,34.83187954723803
train_mean_baseline,37,BaMg2Si2O7,1,0.022609550561798475,0.0005111917766065217,0.022609550561798475,,2.1566444466404846,4.651115269225242,2.1566444466404846
train_median_baseline,37,BaMg2Si2O7,1,0.05449999999999999,0.0029702499999999994,0.05449999999999999,,5.153121691711419,26.55466316958676,5.153121691711419
xgboost_original_params,38,BaMgF4,1,0.21762800216674805,0.04736194732709009,0.21762800216674805,,12.533197585320693,157.08104171268843,12.533197585320693
train_mean_baseline,38,BaMgF4,1,1.1366376404494383,1.2919451256864665,1.1366376404494383,,82.10757537203125,6741.653933473793,82.10757537203125
train_median_baseline,38,BaMgF4,1,1.1030000000000002,1.2166090000000005,1.1030000000000002,,78.94278780194247,6231.963745942518,78.94278780194247
xgboost_original_params,39,BaS,1,0.10711541175842276,0.011473711436176454,0.10711541175842276,,15.758147253632103,248.319204867153,15.758147253632103
train_mean_baseline,39,BaS,1,0.7686994382022472,0.5908988262924504,0.7686994382022472,,92.41139160788566,8539.865298906001,92.41139160788566
train_median_baseline,39,BaS,1,0.7984999999999998,0.6376022499999996,0.7984999999999998,,95.20988256216799,9064.92173750182,95.20988256216799
xgboost_original_params,40,BaSO4,1,0.15710873031616224,0.024683153141556596,0.15710873031616224,,9.348218641913604,87.38919177702103,9.348218641913604
train_mean_baseline,40,BaSO4,1,1.0303398876404488,1.0616002840629326,1.0303398876404488,,76.12149683513377,5794.48228042128,76.12149683513377
train_median_baseline,40,BaSO4,1,0.9970000000000003,0.9940090000000007,0.9970000000000003,,72.98498171009788,5326.807555223322,72.98498171009788
xgboost_original_params,41,BaSi2(NO)2,1,0.35932776260375965,0.12911644097782385,0.35932776260375965,,28.80754055028268,829.874392556181,28.80754055028268
train_mean_baseline,41,BaSi2(NO)2,1,0.1408483146067412,0.019838247727559544,0.1408483146067412,,12.853758610278248,165.2191104113022,12.853758610278248
train_median_baseline,41,BaSi2(NO)2,1,0.11000000000000032,0.01210000000000007,0.11000000000000032,,9.953642683917224,99.07500267909887,9.953642683917224
xgboost_original_params,42,BaSi2O5,1,0.13285992622375487,0.017651759996181585,0.13285992622375487,,11.195306527944695,125.33488825464109,11.195306527944695
train_mean_baseline,42,BaSi2O5,1,0.15388483146067422,0.02368054135368011,0.15388483146067422,,13.995181299487626,195.86509960552817,13.995181299487626
train_median_baseline,42,BaSi2O5,1,0.12300000000000022,0.015129000000000054,0.12300000000000022,,11.091603024614585,123.02365765563941,11.091603024614585
xgboost_original_params,43,BaSi7N10,1,0.14999479484558087,0.022498438480767893,0.14999479484558087,,13.465840961440165,181.32887279879978,13.465840961440165
train_mean_baseline,43,BaSi7N10,1,0.1759466292134828,0.030957216331586802,0.1759466292134828,,15.909044996652312,253.09771270550797,15.909044996652312
train_median_baseline,43,BaSi7N10,1,0.14500000000000002,0.021025000000000005,0.14500000000000002,,12.99960720345257,168.98978744405593,12.99960720345257
xgboost_original_params,44,BaSiN2,1,0.17442878913879412,0.0304254024804259,0.17442878913879412,,24.37735865714535,594.2556150990994,24.37735865714535
train_mean_baseline,44,BaSiN2,1,0.5510898876404493,0.30370006425956303,0.5510898876404493,,61.573754142646976,3791.3271992191358,61.573754142646976
